#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,1.0,18.984,35901.754
1.0,1.0,0.0,1.0,12.34,35914.094
0.0,0.0,0.0,1.0,18.968,35933.062
1.0,0.0,0.0,1.0,12.097,35945.16
1.0,1.0,1.0,1.0,10.043,35955.203
0.0,1.0,0.0,1.0,8.618,35963.82
1.0,1.0,0.0,1.0,11.949,35975.77
0.0,0.0,0.0,1.0,18.795,35994.566
0.0,1.0,1.0,1.0,10.127,36004.695
1.0,1.0,0.0,1.0,2.236,36006.93
0.0,1.0,0.0,1.0,19.078,36026.008
1.0,1.0,0.0,1.0,12.324,36038.332
0.0,0.0,0.0,1.0,19.002,36057.336
1.0,0.0,0.0,1.0,12.122,36069.457
1.0,1.0,1.0,1.0,10.101,36079.56
0.0,1.0,0.0,1.0,8.772,36088.332
1.0,1.0,0.0,1.0,12.152,36100.484
0.0,0.0,0.0,1.0,19.034,36119.52
0.0,1.0,1.0,1.0,10.125,36129.645
1.0,1.0,0.0,1.0,2.225,36131.87
0.0,1.0,0.0,1.0,19.072,36150.94
1.0,1.0,0.0,1.0,12.366,36163.31
0.0,0.0,0.0,1.0,18.931,36182.24
1.0,0.0,0.0,1.0,12.046,36194.285
1.0,1.0,1.0,1.0,10.0,36204.285
0.0,1.0,0.0,1.0,8.568,36212.85
1.0,1.0,0.0,1.0,11.879,36224.73
0.0,0.0,0.0,1.0,18.658,36243.387
0.0,1.0,1.0,1.0,9.99,36253.375
1.0,1.0,0.0,1.0,2.188,36255.562
0.0,1.0,0.0,1.0,18.779,36274.34
1.0,1.0,0.0,1.0,12.135,36286.477
0.0,0.0,0.0,1.0,18.634,36305.11
1.0,0.0,0.0,1.0,11.871,36316.98
1.0,1.0,1.0,1.0,9.887,36326.867
0.0,1.0,0.0,1.0,8.6,36335.47
1.0,1.0,0.0,1.0,11.928,36347.4
0.0,0.0,0.0,1.0,18.595,36365.992
0.0,1.0,1.0,1.0,9.803,36375.797
1.0,1.0,0.0,1.0,2.144,36377.94
0.0,1.0,0.0,1.0,18.535,36396.477
1.0,1.0,0.0,1.0,12.081,36408.56
0.0,0.0,0.0,1.0,18.507,36427.066
1.0,0.0,0.0,1.0,11.819,36438.887
1.0,1.0,1.0,1.0,9.807,36448.695
0.0,1.0,0.0,1.0,8.47,36457.164
1.0,1.0,0.0,1.0,11.727,36468.89
0.0,0.0,0.0,1.0,18.472,36487.363
0.0,1.0,1.0,1.0,9.988,36497.35
1.0,1.0,0.0,1.0,2.204,36499.555
0.0,1.0,0.0,1.0,18.728,36518.28
1.0,1.0,0.0,1.0,12.067,36530.348
0.0,0.0,0.0,1.0,18.576,36548.92
